"Source:","/home/pc/Desktop/SOL1_MiniComputer/hardware/schematics/board-images/main.sch"
"Date:","Mon 27 Sep 2021 18:34:08 BST"
"Tool:","Eeschema 5.1.10"
"Component Count:","332"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"DIS1","HTIL311A","main:HTIL311A","","",""
"DIS2","HTIL311A","main:HTIL311A","","",""
"DIS3","HTIL311A","main:HTIL311A","","",""
"DIS4","HTIL311A","main:HTIL311A","","",""
"DIS5","HTIL311A","main:HTIL311A","","",""
"DIS6","HTIL311A","main:HTIL311A","","",""
"FLAGS1","74273N","main:DIL20","","",""
"IC1","74257N","main:DIL16","","",""
"IC2","74151N","main:DIL16","","",""
"IC3","74151N","main:DIL16","","",""
"IC4","74244N","main:DIL20","","",""
"IC5","74151N","main:DIL16","","",""
"IC6","74151N","main:DIL16","","",""
"IC7","74157N","main:DIL16","","",""
"IC8","74377N","main:DIL20","","",""
"IC9","74151N","main:DIL16","","",""
"IC10","74181N","main:DIL24-6","","",""
"IC11","74181N","main:DIL24-6","","",""
"IC12","74151N","main:DIL16","","",""
"IC13","74257N","main:DIL16","","",""
"IC14","74151N","main:DIL16","","",""
"IC15","74257N","main:DIL16","","",""
"IC16","74151N","main:DIL16","","",""
"IC17","74244N","main:DIL20","","",""
"IC18","7432N","main:DIL14","","",""
"IC19","74377N","main:DIL20","","",""
"IC20","74151N","main:DIL16","","",""
"IC21","58C256P","main:DIL28-6","","",""
"IC22","7408N","main:DIL14","","",""
"IC23","74151N","main:DIL16","","",""
"IC24","74157N","main:DIL16","","",""
"IC25","7427N","main:DIL14","","",""
"IC26","74244N","main:DIL20","","",""
"IC27","74244N","main:DIL20","","",""
"IC28","74377N","main:DIL20","","",""
"IC29","74153N","main:DIL16","","",""
"IC30","74151N","main:DIL16","","",""
"IC31","74377N","main:DIL20","","",""
"IC32","74273N","main:DIL20","","",""
"IC33","74273N","main:DIL20","","",""
"IC34","74153N","main:DIL16","","",""
"IC35","74153N","main:DIL16","","",""
"IC36","74153N","main:DIL16","","",""
"IC37","74153N","main:DIL16","","",""
"IC38","74153N","main:DIL16","","",""
"IC39","74257N","main:DIL16","","",""
"IC40","74153N","main:DIL16","","",""
"IC41","74151N","main:DIL16","","",""
"IC42","74151N","main:DIL16","","",""
"IC43","7404N","main:DIL14","","",""
"IC44","74151N","main:DIL16","","",""
"IC45","7408N","main:DIL14","","",""
"IC46","74283N","main:DIL16","","",""
"IC47","74153N","main:DIL16","","",""
"IC48","74377N","main:DIL20","","",""
"IC49","74257N","main:DIL16","","",""
"IC50","74283N","main:DIL16","","",""
"IC51","74283N","main:DIL16","","",""
"IC52","74283N","main:DIL16","","",""
"IC53","74151N","main:DIL16","","",""
"IC54","74157N","main:DIL16","","",""
"IC55","74257N","main:DIL16","","",""
"IC56","74151N","main:DIL16","","",""
"IC57","74377N","main:DIL20","","",""
"IC58","7411N","main:DIL14","","",""
"IC59","7486N","main:DIL14","","",""
"IC60","74273N","main:DIL20","","",""
"IC61","74151N","main:DIL16","","",""
"IC62","74151N","main:DIL16","","",""
"IC63","74257N","main:DIL16","","",""
"IC64","74153N","main:DIL16","","",""
"IC65","74244N","main:DIL20","","",""
"IC66","74377N","main:DIL20","","",""
"IC67","74151N","main:DIL16","","",""
"IC68","74151N","main:DIL16","","",""
"IC69","74151N","main:DIL16","","",""
"IC70","74244N","main:DIL20","","",""
"IC71","74151N","main:DIL16","","",""
"IC72","74244N","main:DIL20","","",""
"IC73","74153N","main:DIL16","","",""
"IC74","7474N","main:DIL14","","",""
"IC75","74273N","main:DIL20","","",""
"IC76","74273N","main:DIL20","","",""
"IC77","74273N","main:DIL20","","",""
"IC78","74273N","main:DIL20","","",""
"IC79","74273N","main:DIL20","","",""
"IC80","74151N","main:DIL16","","",""
"IC81","74151N","main:DIL16","","",""
"IC82","74151N","main:DIL16","","",""
"IC83","74153N","main:DIL16","","",""
"IC84","74151N","main:DIL16","","",""
"IC85","74151N","main:DIL16","","",""
"IC86","74151N","main:DIL16","","",""
"IC87","74151N","main:DIL16","","",""
"IC88","74151N","main:DIL16","","",""
"IC89","74151N","main:DIL16","","",""
"IC90","74257N","main:DIL16","","",""
"IC91","74253N","main:DIL16","","",""
"IC92","74153N","main:DIL16","","",""
"IC93","7408N","main:DIL14","","",""
"IC94","7432N","main:DIL14","","",""
"IC95","74253N","main:DIL16","","",""
"IC96","74157N","main:DIL16","","",""
"IC97","74244N","main:DIL20","","",""
